,Link,PlayerName,Position,School,CollegeStats,Height,Weight,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted,CombineYear,Draft Team,Round,Pick,Draft Year,Drafted?
0,https://www.pro-football-reference.com/draft/2021-combine.htm,Jonathan Adams,WR,Arkansas St.,https://www.sports-reference.com/cfb/players/jonathan-adams-jr-1.html,6-2,210,4.59,39.0,,132,7.04,4.38,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
1,https://www.pro-football-reference.com/draft/2021-combine.htm,Paulson Adebo,CB,Stanford,https://www.sports-reference.com/cfb/players/paulson-adebo-1.html,6-1,198,4.45,36.5,18,121,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021,2021,New Orleans Saints , 3rd , 76th pick , 2021,Drafted
2,https://www.pro-football-reference.com/draft/2021-combine.htm,Giles Amos,TE,Arkansas St.,https://www.sports-reference.com/cfb/players/giles-amos-1.html,6-3,250,5.14,28.5,,111,7.65,5.13,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
3,https://www.pro-football-reference.com/draft/2021-combine.htm,Zayne Anderson,LB,BYU,https://www.sports-reference.com/cfb/players/zayne-anderson-1.html,,,4.46,34.0,11,120,6.78,4.22,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
4,https://www.pro-football-reference.com/draft/2021-combine.htm,Otis Anderson,RB,Central Florida,https://www.sports-reference.com/cfb/players/otis-anderson-1.html,5-7,179,4.63,36.0,11,113,7.04,4.38,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
5,https://www.pro-football-reference.com/draft/2021-combine.htm,Jack Anderson,OL,Texas Tech,https://www.sports-reference.com/cfb/players/jack-anderson-3.html,6-4,314,5.28,29.5,27,105,7.90,4.83,Buffalo Bills / 7th / 236th pick / 2021,2021,Buffalo Bills , 7th , 236th pick , 2021,Drafted
6,https://www.pro-football-reference.com/draft/2021-combine.htm,Dan Archibong,DT,Temple,https://www.sports-reference.com/cfb/players/dan-archibong-1.html,6-5,295,5.35,28.5,28,100,8.16,4.68,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
7,https://www.pro-football-reference.com/draft/2021-combine.htm,Calvin Ashley,OL,Florida A&M,/td,6-6,314,5.49,29.0,15,105,7.00,5.10,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
8,https://www.pro-football-reference.com/draft/2021-combine.htm,Jaytlin Askew,DB,Georgia Tech,https://www.sports-reference.com/cfb/players/jaytlin-askew-1.html,5-8,180,4.51,35.5,18,125,7.10,4.31,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
9,https://www.pro-football-reference.com/draft/2021-combine.htm,Tutu Atwell,WR,Louisville,https://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,5-8,155,4.42,33.0,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021,2021,Los Angeles Rams , 2nd , 57th pick , 2021,Drafted
10,https://www.pro-football-reference.com/draft/2021-combine.htm,Kayode Awosika,OL,Buffalo,https://www.sports-reference.com/cfb/players/kayode-awosika-1.html,6-3,307,5.19,30.0,28,100,8.15,4.91,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
11,https://www.pro-football-reference.com/draft/2021-combine.htm,Kawaan Baker,WR,South Alabama,https://www.sports-reference.com/cfb/players/kawaan-baker-1.html,6-0,210,4.44,39.5,21,129,7.42,4.41,,2021,,Not Drafted,Not Drafted,Not Drafted,Not Drafted
12,https://www.pro-football-reference.com/draft/2021-combine.htm,Josh Ball,OL,Marshall,https://www.sports-reference.com/cfb/players/josh-ball-1.html,6-7,308,5.20,27.5,28,106,7.77,4.70,Dallas Cowboys / 4th / 138th pick / 2021,2021,Dallas Cowboys , 4th , 138th pick , 2021,Drafted
